date,power,longitude,latitude,place
11/22/2017 22:15,2,36.12,129.35,경북 포항시 북구 북쪽 9km 지역
11/22/2017 12:41,2.5,36.1,129.35,경북 포항시 북구 북북서쪽 6km 지역
11/21/2017 9:53,2.4,36.11,129.33,경북 포항시 북구 북북서쪽 8km 지역
11/21/2017 8:57,2.1,36.09,129.34,경북 포항시 북구 북북서쪽 5km 지역
11/21/2017 5:58,2,36.09,129.35,경북 포항시 북구 북쪽 6km 지역
11/20/2017 6:05,3.6,36.14,129.36,경북 포항시 북구 북쪽 11km 지역
11/19/2017 23:45,3.5,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
11/19/2017 6:40,2.2,36.09,129.34,경북 포항시 북구 북북서쪽 6km 지역
11/19/2017 5:07,2.1,36.12,129.38,경북 포항시 북구 북쪽 9km 지역
11/19/2017 3:33,2.4,36.09,129.35,경북 포항시 북구 북북서쪽 6km 지역
11/19/2017 1:18,2,36.11,129.34,경북 포항시 북구 북북서쪽 8km 지역
11/17/2017 18:57,2.6,36.1,129.35,경북 포항시 북구 북북서쪽 6km 지역
11/17/2017 8:25,2.1,36.12,129.37,경북 포항시 북구 북쪽 8km 지역
11/17/2017 1:17,2.1,36.08,129.33,경북 포항시 북구 북북서쪽 6km 지역
11/16/2017 19:05,2.4,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
11/16/2017 17:32,2.2,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
11/16/2017 17:31,2,36.11,129.37,경북 포항시 북구 북쪽 7km 지역
11/16/2017 16:48,2.4,36.12,129.36,경북 포항시 북구 북쪽 8km 지역
11/16/2017 14:31,2,36.1,129.34,경북 포항시 북구 북북서쪽 7km 지역
11/16/2017 14:04,2.3,36.13,129.37,경북 포항시 북구 북쪽 10km 지역
11/16/2017 10:37,2.3,36.1,129.35,경북 포항시 북구 북북서쪽 6km 지역
11/16/2017 9:47,2.1,36.12,129.37,경북 포항시 북구 북쪽 9km 지역
11/16/2017 9:02,3.6,36.12,129.37,경북 포항시 북구 북쪽 8km 지역
11/16/2017 5:54,2.5,36.09,129.34,경북 포항시 북구 북북서쪽 6km 지역
11/16/2017 5:03,2,36.08,129.34,경북 포항시 북구 북북서쪽 5km 지역
11/16/2017 2:37,2.3,36.14,129.37,경북 포항시 북구 북쪽 11km 지역
11/16/2017 1:36,2.5,36.14,129.36,경북 포항시 북구 북쪽 10km 지역
11/16/2017 1:23,2.1,36.09,129.35,경북 포항시 북구 북북서쪽 6km 지역
11/16/2017 0:38,2,36.09,129.35,경북 포항시 북구 북북서쪽 6km 지역
11/16/2017 0:21,2.4,36.14,129.35,경북 포항시 북구 북쪽 10km 지역
11/15/2017 23:18,2.1,36.13,129.38,경북 포항시 북구 북쪽 10km 지역
11/15/2017 23:05,2,36.1,129.36,경북 포항시 북구 북쪽 6km 지역
11/15/2017 22:43,2.1,36.1,129.36,경북 포항시 북구 북쪽 7km 지역
11/15/2017 22:24,2.1,36.14,129.38,경북 포항시 북구 북쪽 11km 지역
11/15/2017 21:59,2.1,36.14,129.36,경북 포항시 북구 북쪽 10km 지역
11/15/2017 21:35,2,36.11,129.36,경북 포항시 북구 북쪽 8km 지역
11/15/2017 20:54,2.4,36.1,129.35,경북 포항시 북구 북북서쪽 7km 지역
11/15/2017 18:59,2.1,36.11,129.35,경북 포항시 북구 북쪽 8km 지역
11/15/2017 18:58,2.2,36.1,129.35,경북 포항시 북구 북북서쪽 7km 지역
11/15/2017 18:57,2.3,36.11,129.35,경북 포항시 북구 북북서쪽 8km 지역
